"movie","subject"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:American_romantic_musical_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:1970s_romantic_drama_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:1970s_musical_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:American_romantic_drama_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_about_music_and_musicians"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_about_race_and_ethnicity"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_produced_by_Irwin_Winkler"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_produced_by_Robert_Chartoff"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_set_in_New_York_City"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_set_in_the_1940s"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_shot_in_Los_Angeles"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Films_shot_in_New_York_City"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Metafictional_works"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:United_Artists_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:World_War_II_films"
"http://dbpedia.org/resource/New_York,_New_York_(1977_film)","http://dbpedia.org/resource/Category:Liza_Minnelli_soundtracks"
"http://dbpedia.org/resource/The_Audition_(2015_film)","http://dbpedia.org/resource/Category:2015_films"
"http://dbpedia.org/resource/The_Audition_(2015_film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/The_Audition_(2015_film)","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/The_Audition_(2015_film)","http://dbpedia.org/resource/Category:Short_films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/The_Audition_(2015_film)","http://dbpedia.org/resource/Category:American_short_films"
"http://dbpedia.org/resource/The_Audition_(2015_film)","http://dbpedia.org/resource/Category:2010s_short_films"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:2000s_documentary_films"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:Peabody_Award-winning_broadcasts"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:Films_about_Bob_Dylan"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:Rockumentaries"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:Grammy_Award_for_Best_Long_Form_Music_Video"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:BBC_television_documentaries"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:2005_television_films"
"http://dbpedia.org/resource/No_Direction_Home","http://dbpedia.org/resource/Category:American_Masters_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:1970s_crime_drama_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:1973_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:American_crime_drama_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:American_drama_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:Films_set_in_New_York_City"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:Films_shot_in_New_York_City"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:Mafia_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:United_States_National_Film_Registry_films"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Category:Warner_Bros._films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:1980_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:1980s_biographical_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:1980s_drama_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:1980s_sports_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:American_biographical_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:American_black-and-white_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:American_sports_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:BAFTA_winners_(films)"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Biographical_films_about_sportspeople"
